external_id,name,bopomofo,pinyin,meaning,synonyms,antonyms,memo
602,"比比皆是","ㄅㄧˋ ㄅㄧˋ ㄐㄧㄝ ㄖㄢˊ","bì bì jiē rán","形容到處都是。","俯拾即是、觸目皆是","屈指可數、絕無僅有、寥寥無幾「比比皆是」及「觸目皆是」都有到處都是的意思。「比比皆是」適用範圍較廣；「觸目皆是」強調放眼所見。比比皆是觸目皆是辨似例句○ㄨ像他這種擅長電腦打字的人才～，有什麼好驕傲的？
ㄨ○經過戰爭的洗禮後，整座城陷入一片死寂，斷垣殘壁的景象～，令人不勝唏噓。",
93,"閉門造車","ㄅㄧˋ ㄗㄠˋ ㄔㄨ ㄏㄜˊ","bì zào chū hé","比喻凡事只憑主觀辦事，不問是否切合實際。貶義。","","",
988,"避重就輕","ㄅㄧˋ ㄓㄨㄥˋ ㄓㄨˊ ㄑㄧㄥ","bì zhòng zhú qīng","比喻避開主要的問題，而只談些無關緊要的事。","拈輕怕重、避難就易","任勞任怨",
234,"別出心裁","ㄗˋ ㄔㄨ ㄒㄧㄣ ㄘㄞˊ","zì chū xīn cái","獨出巧思，不同流俗。褒義。","匠心獨運、自出機杼、別具一格、別具匠心、別開生面、獨樹一幟","人云亦云、千篇一律、亦步亦趨、如法炮製、拾人牙慧、襲人故智",
655,"標新立異","ㄌㄧㄥˇ ㄧˋ ㄅㄚˊ ㄒㄧㄣ","lǐng yì bá xīn","形容創立新奇的名目或主張，以表示與眾不同。","別出心裁、別具匠心、標奇立異、獨出心裁、獨樹一幟、獨闢蹊徑","一成不變、千篇一律、亦步亦趨、因循守舊、抱殘守缺、拾人牙慧、拾人涕唾、故步自封、陳陳相因、矮子看戲、墨守成規、蕭規曹隨、襲人故智「標新立異」及「獨樹一幟」都有想法與行事與眾不同的意思。「標新立異」側重於創新以顯示與人不同；「獨樹一幟」側重於風格特出而自成一派。標新立異獨樹一幟辨似例句○ㄨ設計海報就是要講究另類，～。
ㄨ○朱銘先生用大型木雕創造出～的太極系列。",
167,"賓至如歸","ㄎㄜˋ ㄓˋ ㄖㄨˊ ㄍㄨㄟ","kè zhì rú guī","形容主人招待周到親切，使客人感到滿意。","","",
831,"兵不厭詐","ㄅㄧㄥ ㄅㄨˋ ㄧㄢˋ ㄑㄩㄢˊ （變） ㄅㄧㄥ ㄅㄨˊ ㄧㄢˋ ㄑㄩㄢˊ","bīng bù yàn quán （變） bīng bú yàn quán","本指作戰時不排斥以欺詐的方法來取勝。後亦比喻做事為了達到目的，不排斥使用詭詐的手段。","兵行詭道","",
784,"兵荒馬亂","ㄅㄧㄥ ㄏㄨㄤ ㄇㄚˇ ㄌㄨㄢˋ","bīng huāng mǎ luàn","形容戰爭所造成的混亂景象。","兵戈擾攘、兵馬倥傯、兵連禍結","天下太平、太平盛世、安居樂業、國泰民安「兵連禍結」及「兵荒馬亂」都用來形容戰爭的動蕩不安。「兵連禍結」側重於接連不斷的戰爭使得災禍亦接連不斷；「兵荒馬亂」側重於描述戰爭所造成的慌亂景象。兵連禍結兵荒馬亂辨似例句○ㄨ這幾年來～，好不容易大家能過太平日子，可千萬別再起戰端了。
ㄨ○戰爭一旦發生，必然到處～，生靈塗炭，流離失所。",
954,"並駕齊驅","ㄑㄧˊ ㄑㄩ ㄅㄧㄥˋ ㄗㄡˋ","qí qū bìng zòu","比喻彼此實力相當，不分軒輊。","並肩前進、齊頭並進、不相上下、勢均力敵、齊足並驅、旗鼓相當","大相逕庭、天差地遠、天淵之別、相去萬里",
84,"病入膏肓","ㄅㄧㄥˋ ㄖㄢˇ ㄍㄠ ㄏㄨㄤ","bìng rǎn gāo huāng","比喻人、事已到無可挽回的程度。","不可救藥、群醫束手","不藥而癒",
472,"捕風捉影","ㄒㄧˋ ㄈㄥ ㄅㄨˇ ㄧㄥˇ","xì fēng bǔ yǐng","比喻所做的事或所說的話毫無根據，憑空揣測。","空穴來風、望風捕影、無中生有","耳聞目睹、言必有據、真憑實據、實事求是「捕風捉影」及「無中生有」都有毫無根據、不實在的意思。「捕風捉影」側重於沒有根據的揣測；「無中生有」側重於憑空捏造。捕風捉影無中生有辨似例句○ㄨ孩子是否被綁架都尚未證實，你先別～地胡思亂想。
ㄨ○我又沒得罪過他，不知他為什麼要～地編造謊言來誣陷我？",
1691,"不謀而合","ㄅㄨˋ ㄇㄡˊ ㄦˊ ㄊㄨㄥˊ","bù móu ér tóng","事前未經商量，後來意見作為卻一致。","不約而同","",
1079,"不動聲色","ㄕㄥ ㄙㄜˋ ㄅㄨˋ ㄉㄨㄥˋ （變） ㄕㄥ ㄙㄜˋ ㄅㄨˊ ㄉㄨㄥˋ","shēng sè bù dòng （變） shēng sè bú dòng","形容人遇事不張揚的冷靜態度。","不露聲色","形於辭色",
129,"不倫不類","ㄅㄨˋ ㄌㄨㄣˊ ㄅㄨˋ ㄌㄟˋ （變） ㄅㄨˋ ㄌㄨㄣˊ ㄅㄨˊ ㄌㄟˋ","bù lún bù lèi （變） bù lún bú lèi","形容事物不成體統。貶義。","不三不四、非驢非馬「不倫不類」及「不三不四」都有不像樣的意思。「不倫不類」多用於事物，有風格、內涵無法互相搭配的意思；「不三不四」多用於人，有不正派的意涵。不倫不類不三不四辨似例句○ㄨ這棟房子明明是洋式建築，卻蓋個中式屋頂，不中不西，～。
ㄨ○我看對街有幾個～的人，一直探頭探腦，鬼鬼祟祟的。","",
169,"不可救藥","ㄇㄛˋ ㄎㄜˇ ㄐㄧㄡˋ ㄧㄠˋ","mò kě jiù yào","比喻到了無法挽救的地步。","病入膏肓、不堪造就、朽木不可雕","藥到回春、藥到病除、醫到病癒、改過從善、浪子回頭、孺子可教",
819,"不可一世","ㄅㄨˋ ㄎㄣˇ ㄧ ㄕˋ （變） ㄅㄨˋ ㄎㄣˇ ㄧˊ ㄕˋ","bù kěn yī shì （變） bù kěn yí shì","指人驕橫自大，目空一切，以為他人無與倫比。貶義。","目中無人、目空一切、目無餘子、妄自尊大、自命不凡、自高自大、唯我獨尊","虛己受人、虛懷若谷、謙沖自牧",
271,"不寒而慄","ㄅㄨˋ ㄏㄢˊ ㄦˊ ㄌㄧˋ","bù hán ér lì","形容內心恐懼極至。","毛骨悚然、心驚肉跳、心驚膽跳、魂飛天外、膽戰心驚","從容自若、無所畏懼、無動於衷",
1078,"不假思索","ㄅㄨˋ ㄒㄧㄚˊ ㄙ ㄙㄨㄛˇ","bù xiá sī suǒ","指不經過思考探求，立即做出反應。","","冥思苦想、深思熟慮",
751,"不見經傳","ㄅㄨˋ ㄐㄧㄢˋ ㄕㄨ ㄓㄨㄢˋ （變） ㄅㄨˊ ㄐㄧㄢˋ ㄕㄨ ㄓㄨㄢˋ","bù jiàn shū zhuàn （變） bú jiàn shū zhuàn","比喻缺乏根據，沒有來歷。","沒沒無聞、湮沒無聞","史不絕書、名垂竹帛、名垂青史、名揚四海、引經據典",
109136,"不期而遇","ㄅㄨˋ ㄑㄧˊ ㄦˊ ㄏㄨㄟˋ","bù qí ér huì","指未經約定而意外相見。","","",
205,"不求甚解","ㄅㄨˋ ㄑㄧㄡˊ ㄕㄣˋ ㄐㄧㄝˇ","bù qiú shèn jiě","形容學習或工作的態度不認真，只求略懂皮毛而不深入理解。","一知半解、生吞活剝、囫圇吞棗","尋根究底、窮源竟委、窮源溯流、融會貫通",
600,"不屈不撓","ㄅㄨˋ ㄜ ㄅㄨˋ ㄋㄠˊ","bù ē bù náo","指意志堅毅，絕不屈服。","百折不撓、堅忍不拔","一蹶不振、半途而廢",
541,"不修邊幅","ㄅㄧㄢ ㄈㄨˊ ㄅㄨˋ ㄒㄧㄡ","biān fú bù xiū","形容不拘形式小節。","不衫不履、首如飛蓬、蓬頭垢面、不拘小節、放浪不羈","衣冠楚楚、西裝革履、修飾邊幅",
40,"不學無術","ㄅㄨˋ ㄒㄩㄝˊ ㄨˊ ㄕˋ","bù xué wú shì","人未經學習而沒有學問才幹。貶義。","一無所長、才疏學淺、胸無點墨、庸庸碌碌","多才多藝、真才實學、博學多才、滿腹經綸、學富五車「不學無術」及「胸無點墨」都有沒有學問的意思。「不學無術」側重於未經學習而沒有能力本領；「胸無點墨」則側重於學養程度低，無法做適切的表達。不學無術胸無點墨辨似例句○ㄨ新任的總經理為人很和氣，但就是～，對公司的問題根本不了解。
ㄨ○他明明是～，卻硬要附庸風雅，才會寫出這種不知所云的詩來。",
741,"不知所措","ㄇㄛˋ ㄓ ㄙㄨㄛˇ ㄘㄨㄛˋ","mò zhī suǒ cuò","形容人惶恐不安，不知道怎麼辦才好。","手忙腳亂、手足無措、六神無主、張皇失措、驚惶失措","泰然自若、從容不迫、應付自如、臨危不亂「不知所措」及「六神無主」都是用於形容慌亂的樣子。「不知所措」側重於形容行為舉止的慌亂；「六神無主」側重於形容心理狀態的慌亂。不知所措六神無主辨似例句○ㄨ這間旅館突然發生火災，所有的房客都～。
ㄨ○驚魂未定的孩子，～地東張西望。",
410,"不足掛齒","ㄨˊ ㄗㄨˊ ㄍㄨㄚˋ ㄔˇ","wú zú guà chǐ","指人或事物輕微，不值得一提。","不足齒數、不值一提、微不足道","非同小可、舉足輕重",
231,"不速之客","ㄅㄨˋ ㄙㄨˋ ㄎㄜˋ （變） ㄅㄨˊ ㄙㄨˋ ㄎㄜˋ","bù sù kè （變） bú sù kè","沒有邀請就自己來的客人。","不請自來座上客","",
534,"不翼而飛","ㄨˊ ㄧˋ ㄦˊ ㄈㄟ","wú yì ér fēi","比喻物品無故遺失。","","合浦珠還",
857,"不言而喻","ㄅㄨˋ ㄧㄢˊ ㄦˊ ㄇㄧㄥˊ","bù yán ér míng","事態明顯，不待說明即可曉悟。","顯而易見","不可言喻「不言而喻」及「顯而易見」都有很容易就能知道的意思。「不言而喻」側重於可以推知；「顯而易見」側重於清楚明瞭。不言而喻顯而易見辨似例句○ㄨ他終於考上大學，高興的心情，自是～了。
ㄨ○這次他犯的錯誤是～的，不用再替他遮掩。",
1355,"不約而同","ㄅㄨˋ ㄩㄝ ㄦˊ ㄏㄜˊ","bù yuē ér hé","彼此並未事先約定，而意見或行為卻相同。","不謀而合","",
745,"迫不及待","ㄆㄛˋ ㄅㄨˋ ㄐㄧˊ ㄉㄞˋ","pò bù jí dài","形容心情急切，不願等待。","刻不容緩、迫在眉睫、急不可待、急如星火、燃眉之急","待時而動、從容不迫",
5598,"破釜沉舟","ㄔㄣˊ ㄓㄡ ㄆㄛˋ ㄈㄨˇ","chén zhōu pò fǔ","形容做事果決，義無反顧。","孤注一擲、背水一戰、背城借一、濟河焚舟","急流勇退、退避三舍「破釜沉舟」及「背水一戰」都有決心一戰的意思。「破釜沉舟」側重於不回頭、不罷休的決心；「背水一戰」側重於絕境中奮力一搏。破釜沉舟背水一戰辨似例句○ㄨ我們已下了～的決心，不完成任務，絕不停止。
ㄨ○下場比賽已不能再輸，希望大家齊心協力，做好～的心理準備。",
51,"破鏡重圓","ㄆㄛˋ ㄐㄧㄥˋ ㄔㄨㄥˊ ㄏㄜˊ","pò jìng chóng hé","比喻夫妻離散或情感決裂後重新團圓合好。","言歸於好","分釵破鏡、分釵斷帶、勞燕分飛、覆水難收、鸞飄鳳泊",
77,"攀龍附鳳","ㄈㄨˋ ㄈㄥˋ ㄆㄢ ㄌㄨㄥˊ","fù fèng pān lóng","比喻巴結權貴，以求晉升。貶義。","依權附勢、附驥攀鴻、夤緣攀附、趨炎附勢、攀高接貴、攀龍附驥","",
224,"旁若無人","ㄆㄤˊ ㄖㄨㄛˋ ㄨˊ ㄖㄣˊ","páng ruò wú rén","形容態度高傲。","不可一世、目中無人、目空一切、目無餘子、自高自大","虛己受人、虛懷若谷",
216,"披星戴月","ㄆㄧ ㄒㄧㄥ ㄉㄞˋ ㄩㄝˋ","pī xīng dài yuè","形容早出晚歸、連夜趕路或工作備極勞累。","早出晚歸、夙興夜寐、夜以繼日、櫛風沐雨","玩歲愒時、曠廢隳惰",
717,"疲於奔命","ㄆㄧˊ ㄩˊ ㄅㄣ ㄇㄧㄥˋ","pí yú bēn mìng","形容事情繁多，奔波勞累。","人困馬乏、精疲力竭","逍遙自在",
595,"平易近人","ㄆㄧㄥˊ ㄧˋ ㄐㄧㄣˋ ㄇㄧㄣˊ","píng yì jìn mín","形容詩文淺白易懂。","和藹可親","盛氣凌人",
677,"萍水相逢","ㄆㄧㄥˊ ㄕㄨㄟˇ ㄒㄧㄤ ㄗㄠ","píng shuǐ xiāng zāo","比喻兩個人本來不相識，因機緣巧合偶然相逢，亦指交情尚屬微淺。","邂逅相逢、邂逅相遇","青梅竹馬",
157,"莫逆之交","ㄇㄛˋ ㄋㄧˋ ㄧㄡˇ","mò nì yǒu","心意相投的朋友。","刎頸之交、金石之交、管鮑之交","一面之交、泛泛之交、酒肉朋友、點頭之交",
508,"墨守成規","ㄇㄛˋ ㄕㄡˇ ㄐㄧㄡˋ ㄈㄚˇ","mò shǒu jiù fǎ","形容行事保守。","一成不變、因循守舊、抱殘守缺、故步自封、陳陳相因、畫地自限","不主故常、日新月異、另闢蹊徑、勇猛精進、推陳出新、標新立異「故步自封」及「墨守成規」都有不求進步的意思。「故步自封」側重於停滯，不求進取；「墨守成規」側重於守舊，不求革新。故步自封墨守成規辨似例句○ㄨ該改革，就改革；該前進，就前進；不宜～，停滯不前。
ㄨ○大家都已改用電腦來輔助設計了，他仍然～，用老方法來畫設計圖。",
1229,"眉開眼笑","ㄇㄟˊ ㄏㄨㄚ ㄧㄢˇ ㄒㄧㄠˋ","méi huā yǎn xiào","形容愉悅欣喜的神情。","眉飛色舞、笑逐顏開、開眉展眼、喜眉笑眼、喜笑顏開","愁眉不展、愁眉苦臉、愁眉鎖眼、蹙額愁眉、顰眉蹙額「眉飛色舞」及「眉開眼笑」都是用來形容喜悅的樣子。「眉飛色舞」側重於形容振奮高興的樣子，帶有得意的意味；「眉開眼笑」則側重於形容單純的欣喜愉悅。眉飛色舞眉開眼笑辨似例句○ㄨ談起過去輝煌的戰果，全隊的人沒有不～的。
ㄨ○小王說話十分風趣，經常逗得大家～。",
1436,"美中不足","ㄇㄟˇ ㄓㄨㄥ ㄅㄨˋ ㄗㄨˊ","měi zhōng bù zú","事物雖美，但仍有缺陷。","白玉微疵、白璧微瑕","十全十美、白璧無瑕、完美無缺、盡善盡美",
396,"茅塞頓開","ㄉㄨㄣˋ ㄎㄞ ㄇㄠˊ ㄙㄜˋ","dùn kāi máo sè","比喻閉塞的心思，頓時豁然醒悟。","恍然大悟、撥雲見日、豁然貫通、豁然開朗","大惑不解、百思不解、茫然不解、莫名其妙",
778,"漫不經心","ㄇㄢˋ ㄅㄨˋ ㄐㄧㄥ ㄧˋ","màn bù jīng yì","隨隨便便，不加留意。","心不在焉、不以為意、掉以輕心、無關痛癢、漠不關心","全神貫注、專心致志、聚精會神",
128,"門庭若市","ㄇㄣˊ ㄊㄧㄥˊ ㄖㄨˊ ㄕˋ","mén tíng rú shì","比喻上門來的人很多。","戶限為穿、車馬盈門、絡繹不絕","門可羅雀、門庭冷落",
76,"門可羅雀","ㄇㄣˊ ㄎㄜˇ ㄓㄤ ㄌㄨㄛˊ","mén kě zhāng luó","泛指一般來客稀少、門庭冷清的景況。","","臣門如市、戶限為穿、車馬盈門、往來如織、門庭若市、賓客如雲、賓客盈門",
4274,"夢寐以求","ㄇㄥˋ ㄇㄟˋ ㄏㄨㄣˊ ㄑㄧㄡˊ","mèng mèi hún qiú","形容願望強烈、迫切。","朝思暮想","",
736,"靡靡之音","ㄇㄧˇ ㄇㄧˇ ㄓ ㄒㄧㄤˇ","mǐ mǐ zhī xiǎng","指頹廢淫蕩、足以使人喪志的音樂。","亡國之音、鄭衛之音、濮上之音","陽春白雪",
335,"面面相覷","ㄇㄧㄢˋ ㄇㄧㄢˋ ㄒㄧㄤ ㄎㄨㄟ","miàn miàn xiāng kuī","形容驚懼、詫異而不知所措的樣子。","目瞪口呆、相顧失色","泰然處之",
1187,"面紅耳赤","ㄇㄧㄢˋ ㄏㄨㄥˊ ㄐㄧㄥˇ ㄔˋ","miàn hóng jǐng chì","形容人因緊張、焦急、害羞等而滿臉發紅的樣子。","臉紅心跳","面不改色",
193,"名不虛傳","ㄇㄧㄥˊ ㄅㄨˋ ㄒㄩ ㄒㄧㄥˊ","míng bù xū xíng","名聲與實際相符，而非徒有虛名。褒義。","名下無虛、名副其實","名不副實、有名無實、名過其實、徒有其名「名不虛傳」及「名副其實」都有名聲與實際相符合的意思。「名不虛傳」專用於好名聲；「名副其實」適用範圍較廣，好壞名聲皆可用。名不虛傳名副其實辨似例句○○金門高粱酒名聞遐邇，我就只飲一小杯，已覺香氣撲鼻，味道醇正，的確是～。
ㄨ○他是個～的守財奴，這樣富有，卻還要苛扣傭人的工錢。",
496,"名副其實","ㄇㄧㄥˊ ㄕˊ ㄒㄧㄤ ㄈㄨˊ","míng shí xiāng fú","名聲或名稱與實際相符合。","名下無虛、名不虛傳","名不副實、有名無實、名過其實、徒有其名「名不虛傳」及「名副其實」都有名聲與實際相符合的意思。「名不虛傳」專用於好名聲；「名副其實」適用範圍較廣，好壞名聲皆可用。名不虛傳名副其實辨似例句○○金門高粱酒名聞遐邇，我就只飲一小杯，已覺香氣撲鼻，味道醇正，的確是～。
ㄨ○他是個～的守財奴，這樣富有，卻還要苛扣傭人的工錢。",
670,"明知故犯","ㄓ ㄦˊ ㄍㄨˋ ㄈㄢˋ","zhī ér gù fàn","形容明明知道不對，卻故意去做。","知法犯法","知過必改",
109154,"目不轉睛","ㄧㄢˇ ㄅㄨˋ ㄓㄨㄢˇ ㄐㄧㄥ","yǎn bù zhuǎn jīng","形容凝神注視，注意力高度集中。","","",
1294,"目瞪口呆","ㄇㄨˋ ㄉㄥˋ ㄎㄡˇ ㄐㄧㄣˋ","mù dèng kǒu jìn","形容受驚或受窘以致神情痴呆的樣子。","呆若木雞、瞠目結舌","神色自若「呆若木雞」及「目瞪口呆」都是用來形容發愣的樣子。「呆若木雞」使用範圍較廣，可用於形容因恐懼、驚訝、窘迫或困惑而產生的反應，亦可用於形容愚笨的樣子；「目瞪口呆」則只用於形容驚訝或窘迫，不用於形容愚笨。呆若木雞目瞪口呆辨似例句○ㄨ妳怎麼交了個～的男友，反應還真遲鈍！
○○這個消息實在太震撼了，一時之間每個人都～地反應不過來。",
986,"目光如豆","ㄕㄨㄤ ㄊㄨㄥˊ ㄖㄨˊ ㄉㄡˋ","shuāng tóng rú dòu","形容目光短淺，見識狹窄。","鼠目寸光","目光如炬、高瞻遠矚",
984,"目光如炬","ㄧㄢˇ ㄍㄨㄤ ㄖㄨˊ ㄐㄩˋ","yǎn guāng rú jù","比喻見事透澈，識見遠大。褒義。","目光炯炯、炯炯有神、洞燭機先","目光如豆、鼠目寸光",
1406,"奮不顧身","ㄈㄣˋ ㄕㄣ ㄅㄨˋ ㄍㄨˋ （變） ㄈㄣˋ ㄕㄣ ㄅㄨˊ ㄍㄨˋ","fèn shēn bù gù （變） fèn shēn bú gù","奮勇向前，不顧生死。","出生入死、赴湯蹈火、挺身而出、捨生忘死、義無反顧","畏縮不前、貪生怕死",
1936,"防患未然","ㄔㄨˊ ㄏㄨㄢˋ ㄨㄟˋ ㄖㄢˊ","chú huàn wèi rán","比喻趁禍患還未發生之前就加以防備。","未雨綢繆、曲突徙薪、防微杜漸","江心補漏、臨陣磨槍、臨渴掘井「未雨綢繆」及「防患未然」都有事先做好準備的意思。「未雨綢繆」側重於做好準備，適用範圍較廣；「防患未然」則是側重於防範災禍。未雨綢繆防患未然辨似例句○○景氣持續不佳，我勸他～，先行儲蓄，萬一失業了也可撐下去。
○ㄨ為了孩子日後讀書所需，他～，幫孩子們存了基金。",
95,"風聲鶴唳","ㄏㄜˋ ㄌㄧˋ ㄈㄥ ㄕㄥ","hè lì fēng shēng","形容驚慌疑懼，自相侵擾。","杯弓蛇影、草木皆兵、疑神疑鬼","神色自若、氣定神閒「風聲鶴唳」及「杯弓蛇影」都有疑神疑鬼、驚恐不安的意思。「風聲鶴唳」側重於因外在形勢而產生的恐懼；「杯弓蛇影」側重於因虛幻的事物而產生的恐懼。風聲鶴唳杯弓蛇影辨似例句○ㄨ公司裁員名單尚未公布，同仁間已是～，人人自危了。
ㄨ○我們所以反對兒童看恐怖電影，就是怕他們會～，嚇壞自己。",
360,"赴湯蹈火","ㄉㄠˋ ㄈㄨˋ ㄊㄤ ㄏㄨㄛˇ","dào fù tāng huǒ","比喻奮不顧身，不避艱險。","出生入死、肝腦塗地、粉身碎骨、奮不顧身","畏縮不前、貪生怕死「赴湯蹈火」及「出生入死」都有冒險犯難的意思。「赴湯蹈火」側重於不懼艱險；「出生入死」側重於不顧生死。赴湯蹈火出生入死辨似例句○ㄨ這些年來，為了爭取農民的權益，他不惜～，冒險犯難。
ㄨ○憑著他的機智和勇敢，在八二三砲戰中，～地完成了軍情傳遞任務。",
413,"覆水難收","ㄆㄛ ㄕㄨㄟˇ ㄋㄢˊ ㄕㄡ","pō shuǐ nán shōu","比喻既定的事實很難再改變。","木已成舟、反水不收、生米煮成熟飯","破鏡重圓",
55,"打草驚蛇","ㄐㄧㄥ ㄕㄜˊ ㄉㄚˇ ㄘㄠˇ","jīng shé dǎ cǎo","比喻行事不密，致使對方有所警覺，而預先防備。","","不動聲色",
